,code,name
844,002300,太阳电缆
845,000677,恒天海龙
846,002824,和胜股份
847,000525,红 太 阳
848,000868,*ST安凯
849,601595,上海电影
850,600705,中航资本
851,601158,重庆水务
852,000622,恒立实业
853,600735,新华锦
854,601166,兴业银行
855,600298,安琪酵母
856,000953,*ST河化
857,600118,中国卫星
858,300085,银之杰
859,600368,五洲交通
860,002828,贝肯能源
861,002936,郑州银行
862,002423,中粮资本
863,601236,红塔证券
864,000415,渤海租赁
865,002258,利尔化学
866,002399,海普瑞
867,002024,苏宁易购
868,603106,恒银金融
869,002511,中顺洁柔
870,300781,因赛集团
871,603005,晶方科技
872,300667,必创科技
873,603738,泰晶科技
874,600385,*ST金泰
875,300136,信维通信
876,000937,冀中能源
877,300161,华中数控
878,300463,迈克生物
879,600295,鄂尔多斯
880,002153,石基信息
881,601601,中国太保
882,002862,实丰文化
883,001872,招商港口
884,600901,江苏租赁
885,300377,赢时胜
886,601608,中信重工
887,000981,ST银亿
888,000045,深纺织Ａ
889,002111,威海广泰
890,000590,启迪古汉
891,000516,国际医学
892,601117,中国化学
893,000488,晨鸣纸业
894,300580,贝斯特
895,000750,国海证券
896,603937,丽岛新材
897,600109,国金证券
898,600711,盛屯矿业
899,600674,川投能源
900,600354,敦煌种业
901,002750,龙津药业
902,603826,坤彩科技
903,300206,理邦仪器
904,600426,华鲁恒升
905,300561,汇金科技
906,601991,大唐发电
907,603288,海天味业
908,300488,恒锋工具
909,601615,明阳智能
910,002690,美亚光电
911,000833,粤桂股份
912,000831,五矿稀土
913,600737,中粮糖业
914,000538,云南白药
915,600657,信达地产
916,300489,中飞股份
917,600058,五矿发展
918,600528,中铁工业
919,603848,好太太
920,600616,金枫酒业
921,000850,华茂股份
922,300188,美亚柏科
923,002005,*ST德豪
924,000778,新兴铸管
925,000721,西安饮食
926,603628,清源股份
927,600299,安迪苏
928,601377,兴业证券
929,300267,尔康制药
930,300520,科大国创
931,300114,中航电测
932,601138,工业富联
933,300732,设研院
934,002540,亚太科技
935,600317,营口港
936,002247,聚力文化
937,603630,拉芳家化
938,601633,长城汽车
939,600395,盘江股份
940,002383,合众思壮
941,002908,德生科技
942,002483,润邦股份
943,300748,金力永磁
944,002654,万润科技
945,603687,大胜达
946,601101,昊华能源
947,603069,海汽集团
948,600515,海航基础
949,002660,茂硕电源
950,603158,腾龙股份
951,000923,河北宣工
952,603611,诺力股份
953,603032,德新交运
954,600313,农发种业
955,002030,达安基因
956,000783,长江证券
957,001696,宗申动力
958,000505,京粮控股
959,000531,穗恒运Ａ
960,600622,光大嘉宝
961,002106,莱宝高科
962,000758,中色股份
963,603838,四通股份
964,300087,荃银高科
965,300331,苏大维格
966,603915,国茂股份
967,601618,中国中冶
968,300292,吴通控股
969,601019,山东出版
970,002657,中科金财
971,002078,太阳纸业
972,002140,东华科技
973,300616,尚品宅配
974,601001,大同煤业
975,600095,哈高科
976,300486,东杰智能
977,600773,西藏城投
978,600176,中国巨石
979,600580,卧龙电驱
980,002846,英联股份
981,601598,中国外运
982,600076,康欣新材
983,601298,青岛港
984,601106,中国一重
985,000997,新 大 陆
986,002728,特一药业
987,002029,七 匹 狼
988,002629,*ST仁智
989,000728,国元证券
990,000547,航天发展
991,002307,北新路桥
992,000980,众泰汽车
993,002960,青鸟消防
994,600085,同仁堂
995,603863,松炀资源
996,603933,睿能科技
997,600497,驰宏锌锗
998,300466,赛摩电气
999,600111,北方稀土
1000,600755,厦门国贸
1001,002681,奋达科技
1002,002841,视源股份
1003,002175,*ST东网
1004,002009,天奇股份
1005,603999,读者传媒
1006,603888,新华网
1007,002186,全 聚 德
1008,002340,格林美
1009,002003,伟星股份
1010,600234,*ST山水
1011,688008,澜起科技
1012,002449,国星光电
1013,600820,隧道股份
1014,600713,南京医药
1015,300635,中达安
1016,000988,华工科技
1017,002674,兴业科技
1018,300306,远方信息
1019,000898,鞍钢股份
1020,002939,长城证券
1021,000597,东北制药
1022,600332,白云山
1023,601500,通用股份
1024,300183,东软载波
1025,000869,张 裕Ａ
1026,002950,奥美医疗
1027,603077,和邦生物
1028,601555,东吴证券
1029,600881,亚泰集团
1030,002281,光迅科技
1031,300130,新国都
1032,601233,桐昆股份
1033,600033,福建高速
1034,002638,勤上股份
1035,002067,景兴纸业
1036,601333,广深铁路
1037,600225,天津松江
1038,603167,渤海轮渡
1039,300118,东方日升
1040,600390,五矿资本
1041,600282,南钢股份
1042,000009,中国宝安
1043,600081,东风科技
1044,600970,中材国际
1045,000990,诚志股份
1046,300642,透景生命
1047,002083,孚日股份
1048,300705,九典制药
1049,601997,贵阳银行
1050,600537,亿晶光电
1051,002346,柘中股份
1052,000716,黑芝麻
1053,603976,正川股份
1054,603601,再升科技
1055,002768,国恩股份
1056,002433,太安堂
1057,000623,吉林敖东
1058,603059,倍加洁
1059,002277,友阿股份
1060,603587,地素时尚
1061,600059,古越龙山
1062,300493,润欣科技
1063,002852,道道全
1064,600858,银座股份
1065,002610,爱康科技
1066,000687,华讯方舟
1067,000039,中集集团
1068,603331,百达精工
1069,600028,中国石化
1070,600792,云煤能源
1071,603021,山东华鹏
1072,601727,上海电气
1073,600098,广州发展
1074,600811,东方集团
1075,300556,丝路视觉
1076,002119,康强电子
1077,600763,通策医疗
1078,002737,葵花药业
1079,600699,均胜电子
1080,300121,阳谷华泰
1081,600459,贵研铂业
1082,601788,光大证券
1083,600392,盛和资源
1084,002820,桂发祥
1085,000893,东凌国际
1086,600186,*ST莲花
1087,601985,中国核电
1088,600500,中化国际
1089,600980,北矿科技
1090,300380,安硕信息
1091,601231,环旭电子
1092,000021,深科技
1093,600793,宜宾纸业
1094,002488,金固股份
1095,603665,康隆达
1096,002075,沙钢股份
1097,600191,华资实业
1098,300339,润和软件
1099,000430,张家界
1100,600886,国投电力
1101,600359,新农开发
1102,600171,上海贝岭
1103,001979,招商蛇口
1104,600063,皖维高新
1105,000678,襄阳轴承
1106,600352,浙江龙盛
1107,002389,航天彩虹
1108,002580,圣阳股份
1109,002126,银轮股份
1110,603368,柳药股份
1111,600570,恒生电子
1112,000911,*ST 南糖
1113,600135,乐凯胶片
1114,002162,悦心健康
1115,002287,奇正藏药
1116,300712,永福股份
1117,603638,艾迪精密
1118,000501,鄂武商Ａ
1119,000726,鲁 泰Ａ
1120,002957,科瑞技术
1121,002867,周大生
1122,300413,芒果超媒
1123,002413,雷科防务
1124,600037,歌华有线
1125,601801,皖新传媒
1126,601766,中国中车
1127,600999,招商证券
1128,002656,摩登大道
1129,000791,甘肃电投
1130,603530,神马电力
1131,002643,万润股份
1132,603166,福达股份
1133,601939,建设银行
1134,300088,长信科技
1135,300602,飞荣达
1136,002696,百洋股份
1137,600995,文山电力
1138,300127,银河磁体
1139,601988,中国银行
1140,002499,*ST科林
1141,002301,齐心集团
1142,000585,ST东电
1143,601168,西部矿业
1144,002757,南兴股份
1145,002780,三夫户外
1146,300603,立昂技术
1147,600761,安徽合力
1148,600830,香溢融通
1149,000661,长春高新
1150,000733,振华科技
1151,002366,台海核电
1152,601200,上海环境
1153,600936,广西广电
1154,002065,东华软件
1155,002097,山河智能
1156,002058,威 尔 泰
1157,600012,皖通高速
1158,002238,天威视讯
1159,002051,中工国际
1160,601666,平煤股份
1161,600800,天津磁卡
1162,601228,广州港
1163,600456,宝钛股份
1164,300434,金石亚药
1165,002883,中设股份
1166,000825,太钢不锈
1167,300218,安利股份
1168,600736,苏州高新
1169,600652,*ST游久
1170,002733,雄韬股份
1171,300416,苏试试验
1172,000909,数源科技
1173,600750,江中药业
1174,000732,泰禾集团
1175,600609,金杯汽车
1176,600023,浙能电力
1177,600158,中体产业
1178,600651,飞乐音响
1179,600415,小商品城
1180,300478,杭州高新
1181,000848,承德露露
1182,603236,移远通信
1183,601688,华泰证券
1184,300652,雷迪克
1185,600067,冠城大通
1186,002647,仁东控股
1187,000507,珠海港
1188,000062,深圳华强
1189,600232,金鹰股份
1190,300182,捷成股份
1191,600258,首旅酒店
1192,300143,盈康生命
1193,002507,涪陵榨菜
1194,600448,华纺股份
1195,600757,长江传媒
1196,600309,万华化学
1197,300418,昆仑万维
1198,300420,五洋停车
1199,000060,中金岭南
1200,000958,东方能源
1201,601880,大连港
1202,600611,大众交通
1203,600507,方大特钢
1204,600110,诺德股份
1205,603677,奇精机械
1206,600323,瀚蓝环境
1207,601226,华电重工
1208,600461,洪城水业
1209,600328,兰太实业
1210,600103,青山纸业
1211,002469,三维工程
1212,002031,巨轮智能
1213,000727,华东科技
1214,600269,赣粤高速
1215,002685,华东重机
1216,600101,明星电力
1217,601929,吉视传媒
1218,002686,亿利达
1219,300653,正海生物
1220,000967,盈峰环境
1221,002723,金莱特
1222,000668,荣丰控股
1223,603598,引力传媒
1224,600315,上海家化
1225,300317,珈伟新能
1226,002063,远光软件
1227,600377,宁沪高速
1228,300439,美康生物
1229,600893,航发动力
1230,002843,泰嘉股份
1231,603815,交建股份
1232,603279,景津环保
1233,603023,威帝股份
1234,600420,现代制药
1235,300353,东土科技
1236,000420,吉林化纤
1237,002209,达 意 隆
1238,002211,宏达新材
1239,000338,潍柴动力
1240,300773,拉卡拉
1241,000630,铜陵有色
1242,300487,蓝晓科技
1243,000589,贵州轮胎
1244,600804,鹏博士
1245,603909,合诚股份
1246,002531,天顺风能
1247,000822,山东海化
1248,000571,*ST大洲
1249,002146,荣盛发展
1250,002772,众兴菌业
1251,600220,江苏阳光
1252,000564,供销大集
